"payer_id","activity_code","coverage_score"
"E001","C80-2663-02031-01",0.5735
"INS001","1614-530501-0612",0.0000
"INS137","45331",1.0000
"E001","044172",0.0000
"E001","74183",1.0000
"INS026","0063-238801-1021",0.0000
"E001","S71-9687-02166-02",0.4545
"INS044","1290-640412-1171",0.0000
"INS137","80069",0.6953
"E001","79404",0.2347
"INS035","72170",0.0000
"E001","G08-0680-05959-01",0.5000
"INS084","84450",1.0000
"INS002","0086-225101-2091",0.0000
"E001","99283",0.9413
"SF0051","A9999",1.0000
"INS001","84520",1.0000
"INS026","96375",0.1500
"E001","04312",0.5000
"INS026","A6257",1.0000
"E001","M08-5496-05269-01",1.0000
"INS026","73718",0.7500
"E001","J45-5619-01788-01",0.5376
"INS002","0006-402803-2071",0.0000
"INS017","90837",0.0000
"INS044","87425",1.0000
"INS012","83001",0.7869
"INS007","88142",1.0000
"INS038","87324",1.0000
"E001","70547",0.7917
"INS001","92567",0.5614
"INS001","86301",0.0000
"INS137","86900",1.0000
"E001","85305",0.0000
"INS026","0005-106605-2232",0.0000
"E001","76642",0.8554
"INS001","86160",0.5263
"INS042","11",0.5517
"INS137","99153",0.5000
"INS010","76830",1.0000
"INS026","0219-148801-0151",1.0000
"INS026","72195",1.0000
"INS017","72082",0.2000
"INS010","84702",0.5909
"INS026","76882",0.8400
"INS137","0619-573201-1021",1.0000
"INS022","51798",1.0000
"E001","84439",0.3530
"E001","82157",0.7114
"INS038","C1751",1.0000
"INS012","97530",0.3950
"E001","73620",0.4958
"INS026","86735",0.0000
"INS009","1233-940401-1132",0.0000
"INS005","84295",0.2813
"E001","95886",0.1848
"E001","87798",0.0000
"INS026","94642",0.4000
"INS026","MS-11",1.0000
"INS024","82306",1.0000
"INS038","97161",1.0000
"INS026","73600",0.3529
"INS042","0070-310402-1021",1.0000
"INS012","86900",0.2632
"INS017","82565",0.6580
"E001","30901",0.2500
"INS005","92504",1.0000
"INS137","10",0.8675
"INS012","84425",1.0000
"INS017","82553",1.0000
"INS001","70486",0.8182
"E001","73130",0.5642
"INS134","11.02",1.0000
"INS001","1111-183202-0391",1.0000
"INS001","1364-243501-1171",0.0000
"INS042","84460",1.0000
"E001","J45-1409-05777-01",0.2041
"E001","92557",1.0000
"E001","H37-4002-04325-03",0.5326
"INS134","86140",1.0000
"E001","C81-0459-03097-01",0.5995
"E001","H21-5280-01089-01",1.0000
"E001","92534",0.7838
"E001","G05-C904-16216-01",1.0000
"INS038","20.09",1.0000
"INS019","83002",0.6471
"INS019","82746",1.0000
"INS139","82310",1.0000
"INS013","80076",0.6789
"INS137","0205-440401-1021",1.0000
"INS010","87340",1.0000
"E001","114101",0.0000
"E001","81335",0.0000
"INS012","0063-371603-1021",0.4444
"INS026","2858-155604-0391",1.0000
"INS026","0188-174302-0151",1.0000
"E001","85379",0.4003
"INS019","45380",1.0000
"E001","42331",0.0000
"INS026","73552",0.0000
"INS024","45380",1.0000
"INS139","0186-215005-1452",0.0000
"SF0051","A4657",1.0000
"E001","27",0.0000
"INS033","97110",0.5000
"INS012","84146",0.3113
"E001","77082",1.0000
"INS012","82043",0.4000
"E001","29126",0.5000
"INS002","74182",1.0000
"INS008","93350",1.0000
"INS009","5917-888701-1131",0.2857
"INS008","73590",0.6250
"INS137","72190",0.0000
"INS027","11",1.0000
"E001","B46-6541-06714-01",1.0000
"INS010","86812",1.0000
"E001","HZ9-B330-12640-01",0.0000
"INS005","0006-106607-1161",0.0000
"INS008","82164",1.0000
"SF0051","84450",0.7412
"INS001","74178",0.6250
"E001","H21-2270-04682-02",0.6364
"INS010","82247",1.0000
"INS012","82728",0.8200
"INS026","83921",0.5588
"INS001","82627",1.0000
"INS010","A4927",1.0000
"INS008","87075",0.0000
"INS017","87205",1.0000
"E001","H21-2547-04308-01",0.0158
"INS005","69210",1.0000
"E001","85306",0.0000
"E001","C81-0459-03093-01",0.7995
"INS013","76775",0.2857
"E001","92526",1.0000
"INS001","82465",0.5217
"INS010","83835",1.0000
"E001","76881",0.8141
"INS084","83721",1.0000
"INS022","72195",1.0000
"INS026","83695",0.2473
"INS001","88346",0.0000
"INS001","86003",1.0000
"INS137","72170",0.6400
"E001","31624",1.0000
"INS001","82374",0.0000
"E001","70150",0.0000
"INS001","87338",0.5718
"E001","G08-1562-03621-01",1.0000
"E001","B46-4387-00779-01",0.3745
"INS001","29125",0.0000
"INS001","0248-469502-0801",0.0000
"INS026","84270",0.2787
"INS134","76856",0.8571
"E001","C91-2943-03436-01",1.0000
"E001","86340",0.5294
"INS017","51798",0.0000
"E001","70491",1.0000
"INS013","0397-116204-0851",0.5000
"INS139","90461",1.0000
"E001","K54-1906-01119-01",0.5693
"INS001","0085-239201-0371",0.0000
"INS026","86644",0.0000
"INS026","84460",0.8313
"INS010","80053",0.0000
"E001","L91-4287-03765-01",1.0000
"INS002","84153",1.0000
"INS017","9",1.0000
"INS137","29806",1.0000
"INS008","87086",0.0000
"INS044","85732",0.0000
"E001","I73-2661-05113-01",0.6509
"E001","84630",0.1505
"INS026","0053-148602-0391",1.0000
"INS137","T5999",1.0000
"INS026","20600",0.4286
"E001","76982",0.1786
"INS001","46260",1.0000
"INS137","0186-143702-0061",1.0000
"E001","K06-4842-05041-01",0.3894
"SF0051","92511",0.0000
"INS012","A6257",1.0000
"INS017","28515",1.0000
"INS002","88342",1.0000
"INS012","72148",1.0000
"E001","84436",1.0000
"INS012","A4216",1.0000
"E001","99211",0.5000
"INS038","83525",0.6250
"INS012","1720-123325-0511",0.6667
"E001","85045",0.8573
"INS010","11772",1.0000
"E001","044212",0.0000
"INS034","85025",1.0000
"INS001","86800",0.2500
"E001","F26-4923-03210-01",1.0000
"INS026","11422",0.0000
"INS024","87177",0.2632
"INS001","1183-175003-1021",0.0000
"INS024","90460",0.2609
"INS001","84481",0.0847
"INS014","11.02",1.0000
"E001","84100",0.5162
"E001","I61-3220-01079-02",1.0000
"INS001","83690",0.9296
"INS014","86140",0.7866
"INS026","1320-663001-0371",1.0000
"E001","82310",0.7272
"INS024","4365-151701-0081",1.0000
"INS137","A4627",1.0000
"E001","83002",0.6279
"E001","M22-0137-01626-01",0.0000
"E001","L69-1169-01396-01",0.9647
"E001","B48-1158-04971-01",0.6688
"INS010","87045",0.5455
"INS137","72200",0.0000
"INS017","11420",1.0000
"E001","OI0-C653-16503-02",0.7619
"E001","83001",0.6342
"INS008","11.02",0.7500
"E001","86704",0.7549
"E001","23324",0.6171
"E001","83921",0.0876
"E001","42831",0.0000
"INS084","86038",0.0000
"E001","20220",0.0000
"E001","J57-5678-03232-01",1.0000
"INS026","86003",0.4444
"INS012","73630",0.3600
"E001","64495",0.0000
"INS008","82397",1.0000
"E001","B97-4881-05179-02",1.0000
"INS137","5038-654301-1022",0.0000
"INS042","90473",1.0000
"E001","J49-1131-05043-03",0.0000
"E001","42311",0.5954
"INS013","83690",0.6415
"INS017","92511",0.5385
"INS026","83090",0.7778
"INS015","91065",0.0000
"INS008","97140",0.3655
"INS137","83090",0.3333
"INS001","84402",0.7273
"INS028","83036",0.2222
"INS024","0444-176502-1381",0.0000
"INS005","73030",1.0000
"INS018","97140",1.0000
"E001","G05-4622-00881-01",0.5000
"INS012","84439",0.8474
"E001","A60-5516-03887-01",0.3333
"INS026","73564",0.8571
"SF0051","0619-621301-1451",0.3333
"INS013","58300",1.0000
"E001","114121",0.0000
"E001","044162",0.0000
"INS008","84484",1.0000
"INS019","76830",1.0000
"INS001","80061",0.6631
"E001","40800",1.0000
"INS001","84155",1.0000
"E001","A78-0085-03233-01",0.3333
"INS026","0281-187603-0152",0.0000
"INS013","73590",0.5625
"E001","M08-5496-05270-01",0.5000
"INS013","85670",1.0000
"INS001","87275",0.0988
"INS017","93224",0.0000
"INS015","86706",0.0000
"INS084","82947",0.5000
"INS001","1291-170801-1161",0.0000
"INS139","97530",0.0000
"E001","86146",0.2913
"E001","77081",0.6016
"E001","044161",0.0000
"INS137","73070",1.0000
"E001","B97-1332-01722-01",1.0000
"INS012","84270",0.0000
"SP0026","84550",1.0000
"INS015","83540",0.0000
"INS134","10",0.0000
"INS038","86038",0.5714
"E001","84165",0.6695
"E001","76983",1.0000
"INS001","6659-273401-0061",0.0000
"INS026","2569-248001-0391",0.0000
"E001","111301",0.0000
"E001","D54-7415-07383-01",0.0000
"E001","82010",1.0000
"INS002","1162-106616-2001",0.0000
"INS002","83036",1.0000
"INS001","A9276",0.0000
"INS002","70486",1.0000
"INS026","0188-172303-2372",0.0000
"E001","81241",0.0000
"INS013","0005-106605-2232",0.0000
"INS042","76830",0.0000
"E001","75401",0.5714
"SF0051","82746",0.7273
