"payer_id","diagnosis_code","activity_code","pa_risk_score"
"E001","A04.71","H21-5437-05791-01",1.0000
"E001","A04.72","064171",0.0000
"E001","A04.72","064181",0.4000
"E001","A04.72","74022",0.0000
"E001","A04.72","80053",0.0000
"E001","A04.72","81001",0.0000
"E001","A04.72","82550",0.0000
"E001","A04.72","82805",0.0000
"E001","A04.72","82947",0.0000
"E001","A04.72","84132",0.0000
"E001","A04.72","85025",0.0000
"E001","A04.72","86140",0.0000
"E001","A04.72","87045",0.0000
"E001","A04.72","87177",0.0000
"E001","A04.72","87507",0.0000
"E001","A04.72","96361",0.0000
"E001","A04.72","96365",0.0000
"E001","A04.72","96367",0.0000
"E001","A04.72","96374",0.0000
"E001","A04.72","96375",0.0000
"E001","A04.72","99283",0.0000
"E001","A04.72","DC5-A195-02166-02",0.0000
"E001","A04.72","EM0-A371-10943-01",0.0000
"E001","A04.72","F15-6596-04308-02",0.0000
"E001","A04.72","H21-4261-03760-01",0.0000
"E001","A04.72","U90-7991-05180-04",0.0000
"E001","A04.8","82565",0.0000
"E001","A04.8","84132",0.0000
"E001","A04.8","84295",0.0000
"E001","A04.8","85025",0.0000
"E001","A04.8","86140",0.0000
"E001","A04.8","87177",0.0000
"E001","A04.8","87209",0.0000
"E001","A04.8","99202",0.0000
"E001","A04.8","99203",0.0000
"E001","A04.8","99213",0.0000
"E001","A04.9","061131",0.0000
"E001","A04.9","061132",0.0000
"E001","A04.9","062120",0.0000
"E001","A04.9","064163",0.0000
"E001","A04.9","064181",0.3333
"E001","A04.9","11403",0.0000
"E001","A04.9","114121",0.0000
"E001","A04.9","44970",0.0000
"E001","A04.9","51702",0.0000
"E001","A04.9","71046",0.0000
"E001","A04.9","71047",0.0000
"E001","A04.9","74018",0.0000
"E001","A04.9","74178",0.0000
"E001","A04.9","74182",0.0000
"E001","A04.9","76700",0.0000
"E001","A04.9","76705",0.0000
"E001","A04.9","80053",0.0000
"E001","A04.9","80076",0.0000
"E001","A04.9","81001",0.0000
"E001","A04.9","81002",0.0000
"E001","A04.9","82105",0.0000
"E001","A04.9","82150",0.0000
"E001","A04.9","82247",0.0000
"E001","A04.9","82274",0.0000
"E001","A04.9","82310",0.0000
"E001","A04.9","82565",0.0000
"E001","A04.9","82607",0.0000
"E001","A04.9","82728",0.0000
"E001","A04.9","82784",0.0000
"E001","A04.9","83021",0.0000
"E001","A04.9","83516",0.0000
"E001","A04.9","83550",0.0000
"E001","A04.9","83690",0.0000
"E001","A04.9","83735",0.0000
"E001","A04.9","83993",0.0000
"E001","A04.9","84075",0.0000
"E001","A04.9","84132",0.0000
"E001","A04.9","84295",0.0000
"E001","A04.9","84450",0.0000
"E001","A04.9","84460",0.0000
"E001","A04.9","84702",0.0000
"E001","A04.9","85025",0.0000
"E001","A04.9","85660",0.0000
"E001","A04.9","86140",0.0000
"E001","A04.9","87070",0.0000
"E001","A04.9","87177",0.0000
"E001","A04.9","87209",0.0000
"E001","A04.9","87275",0.0000
"E001","A04.9","87276",0.0000
"E001","A04.9","87324",0.0000
"E001","A04.9","87880",0.0000
"E001","A04.9","88304",0.0000
"E001","A04.9","96361",0.0000
"E001","A04.9","96365",0.0000
"E001","A04.9","96367",0.0000
"E001","A04.9","96374",0.0000
"E001","A04.9","96375",0.0000
"E001","A04.9","99203",0.0000
"E001","A04.9","99204",0.0000
"E001","A04.9","99213",0.0000
"E001","A04.9","99283",0.0000
"E001","A04.9","99284",0.0000
"E001","A04.9","A51-7914-07766-01",0.0000
"E001","A04.9","A54-0245-01399-01",0.0000
"E001","A04.9","B46-3628-02157-01",1.0000
"E001","A04.9","B46-3628-02166-01",0.0000
"E001","A04.9","B55-0470-04173-01",0.0000
"E001","A04.9","C96-4083-04308-01",0.0000
"E001","A04.9","D92-6558-04173-01",0.0000
"E001","A04.9","DC5-A195-02166-02",0.0000
"E001","A04.9","DY0-B793-01887-02",0.0000
"E001","A04.9","F15-6596-04308-02",0.0000
"E001","A04.9","G05-7794-05178-02",0.0000
"E001","A04.9","G93-2065-02496-01",0.0000
"E001","A04.9","H21-4745-02879-03",0.0000
"E001","A04.9","H37-4002-04325-03",0.0000
"E001","A04.9","J39-3402-04579-01",0.0000
"E001","A04.9","K40-4908-02836-01",0.0000
"E001","A04.9","O62-0025-05154-01",0.0000
"E001","A04.9","O62-2809-00882-02",0.0000
"E001","A04.9","R05-5681-04916-01",0.0000
"E001","A04.9","T52-8054-05096-01",1.0000
"E001","A04.9","U90-7991-05180-04",0.0000
"E001","A05.9","74019",0.0000
"E001","A05.9","76700",0.0000
"E001","A05.9","80053",0.0000
"E001","A05.9","81001",0.0000
"E001","A05.9","82550",0.0000
"E001","A05.9","83690",0.0000
"E001","A05.9","85025",0.0000
"E001","A05.9","86140",0.0000
"E001","A05.9","87507",0.0000
"E001","A05.9","96361",0.0000
"E001","A05.9","96365",0.0000
"E001","A05.9","96367",0.0000
"E001","A05.9","96375",0.0000
"E001","A05.9","99283",0.0000
"E001","A05.9","99284",0.0000
"E001","A05.9","B46-3628-02166-01",0.0000
"E001","A05.9","DC5-A195-02166-02",0.0000
"E001","A05.9","F15-6596-04308-02",0.0000
"E001","A05.9","H21-4745-02881-01",0.0000
